,time,open,high,low,close,tick_volume,spread,real_volume
165,1673273160,1.21428,1.21431,1.21415,1.2143,52,5,0
166,1673273220,1.2143,1.2144,1.21422,1.21429,41,5,0
167,1673273280,1.21429,1.21441,1.21413,1.21441,47,5,0
168,1673273340,1.21441,1.21442,1.21414,1.21417,59,5,0
169,1673273400,1.21417,1.21444,1.21402,1.21435,97,5,0
170,1673273460,1.21435,1.21447,1.21395,1.21397,76,5,0
171,1673273520,1.21397,1.21425,1.21372,1.21383,102,5,0
172,1673273580,1.21383,1.2140900000000001,1.21378,1.21398,97,5,0
173,1673273640,1.214,1.214,1.21359,1.21365,70,5,0
174,1673273700,1.21367,1.2137,1.2135,1.21357,86,5,0
175,1673273760,1.21357,1.21357,1.21307,1.21308,130,3,0
176,1673273820,1.21309,1.21356,1.21309,1.2135,74,5,0
177,1673273880,1.2135,1.21352,1.21329,1.21337,59,5,0
178,1673273940,1.21337,1.21362,1.21333,1.21362,48,5,0
179,1673274000,1.21366,1.21385,1.2134,1.21383,140,5,0
180,1673274060,1.21383,1.21398,1.21366,1.21398,114,5,0
181,1673274120,1.21397,1.21418,1.21378,1.21418,113,5,0
182,1673274180,1.21418,1.2144300000000001,1.21397,1.21398,71,5,0
183,1673274240,1.21398,1.21411,1.21394,1.21405,52,5,0
184,1673274300,1.21406,1.2144300000000001,1.21406,1.21438,91,5,0
185,1673274360,1.21439,1.2144300000000001,1.21425,1.21439,93,5,0
186,1673274420,1.21439,1.21447,1.21408,1.2141,73,5,0
187,1673274480,1.2141,1.2141899999999999,1.214,1.21415,64,5,0
188,1673274540,1.21415,1.21445,1.21414,1.21429,77,5,0
189,1673274600,1.21429,1.21444,1.21413,1.21433,83,5,0
190,1673274660,1.21432,1.21442,1.2141899999999999,1.2144,56,5,0
191,1673274720,1.2144,1.21446,1.21435,1.2144,39,5,0
192,1673274780,1.2144,1.21449,1.21439,1.2144300000000001,93,5,0
193,1673274840,1.21442,1.21445,1.21437,1.21442,44,5,0
194,1673274900,1.21442,1.21445,1.21433,1.21441,38,5,0
195,1673274960,1.2144,1.21444,1.21423,1.21439,54,5,0
196,1673275020,1.21438,1.21444,1.21432,1.21432,26,5,0
197,1673275080,1.21432,1.2144300000000001,1.21429,1.21439,45,5,0
198,1673275140,1.2144,1.21442,1.21426,1.2144,44,5,0
199,1673275200,1.2144,1.21442,1.21423,1.21423,29,5,0
200,1673275260,1.21418,1.21418,1.21395,1.214,68,5,0
201,1673275320,1.21399,1.21399,1.2137,1.21374,65,5,0
202,1673275380,1.21371,1.21407,1.21369,1.21406,68,5,0
203,1673275440,1.21406,1.21431,1.21405,1.21418,93,5,0
204,1673275500,1.21417,1.21418,1.21398,1.21413,65,5,0
205,1673275560,1.21415,1.21445,1.21413,1.2144,62,5,0
206,1673275620,1.21439,1.21444,1.21426,1.2143,53,5,0
207,1673275680,1.2143,1.21441,1.21428,1.21431,45,5,0
208,1673275740,1.21433,1.21437,1.21418,1.21422,43,5,0
209,1673275800,1.21421,1.21425,1.21352,1.21361,83,5,0
210,1673275860,1.21361,1.2138200000000001,1.21349,1.21352,78,5,0
211,1673275920,1.21352,1.21356,1.21333,1.21346,80,5,0
212,1673275980,1.21347,1.21373,1.21336,1.21338,119,5,0
213,1673276040,1.21338,1.21342,1.21327,1.21337,68,5,0
214,1673276100,1.21338,1.21363,1.21329,1.21362,99,5,0
215,1673276160,1.21362,1.21391,1.21353,1.21368,127,5,0
216,1673276220,1.21368,1.21396,1.21338,1.21338,123,5,0
217,1673276280,1.21338,1.21367,1.21329,1.21367,130,5,0
218,1673276340,1.21367,1.21404,1.21367,1.21385,113,5,0
219,1673276400,1.21389,1.2143,1.21377,1.21393,176,5,0
220,1673276460,1.21394,1.21402,1.21359,1.2137,144,4,0
221,1673276520,1.21371,1.21401,1.21367,1.21401,96,5,0
222,1673276580,1.21399,1.21441,1.21399,1.2142,109,5,0
223,1673276640,1.2142,1.21427,1.21371,1.21371,110,5,0
224,1673276700,1.21371,1.21393,1.21366,1.21387,126,5,0
225,1673276760,1.21387,1.21418,1.21387,1.21401,87,5,0
226,1673276820,1.214,1.21442,1.21399,1.21418,100,5,0
227,1673276880,1.21418,1.21445,1.21418,1.21437,89,5,0
228,1673276940,1.21437,1.21449,1.2143,1.21447,72,5,0
229,1673277000,1.21447,1.21498,1.21447,1.21487,63,5,0
230,1673277060,1.21484,1.21513,1.21484,1.21501,104,5,0
231,1673277120,1.21502,1.2153,1.21498,1.21517,100,5,0
232,1673277180,1.21512,1.2154,1.21511,1.2153,92,5,0
233,1673277240,1.2153,1.2153,1.21473,1.21486,108,5,0
234,1673277300,1.21484,1.21528,1.21473,1.21524,110,5,0
235,1673277360,1.21523,1.21569,1.21518,1.21557,181,5,0
236,1673277420,1.21557,1.21566,1.21542,1.21564,120,5,0
237,1673277480,1.21563,1.21601,1.2155,1.21584,121,5,0
238,1673277540,1.21582,1.2159200000000001,1.21571,1.21577,117,5,0
239,1673277600,1.2157499999999999,1.21589,1.2155,1.21561,142,5,0
240,1673277660,1.21559,1.21581,1.21554,1.21576,134,5,0
241,1673277720,1.21577,1.21679,1.21574,1.2165300000000001,184,5,0
242,1673277780,1.2165300000000001,1.21667,1.21645,1.21656,125,5,0
243,1673277840,1.21658,1.21694,1.21655,1.21677,159,5,0
244,1673277900,1.21678,1.21731,1.21675,1.21729,122,5,0
245,1673277960,1.21729,1.21791,1.21727,1.21771,153,5,0
